"your_campus","your_acade","your_grade","club_stud_org","class_commi","soci_acti","dali_live","local","Social Radius"
"WuShan","F12","graduate",0,0,0,0,1,2.5173396207879
"WuShan","F13","junior",1,1,1,0,0,1.95893506238334
"HEMC","f3","junior",1,1,0,0,1,1.96728558797524
"HEMC","f4","junior",0,1,0,1,0,2.68670792808724
"HEMC","f5","junior",0,0,0,0,0,1.96728558797524
"HEMC","f6","junior",0,0,0,1,1,2.69839866391591
"HEMC","f7","senior",1,1,0,0,1,2.66853325474015
"HEMC","f8","junior",1,1,0,1,0,2.41349837901562
"HEMC","f9","sophomore",1,1,1,0,1,2.56557618626584
"HEMC","f10","sophomore",1,0,0,0,0,2.87464387464387
"HEMC","f11","sophomore",1,1,0,0,1,2.72433441398959
"HEMC","f12","junior",1,1,0,0,0,2.72895176343452
"HEMC","f13","senior",1,0,0,1,1,2.46173494449357
"HEMC","f14","sophomore",1,1,1,1,1,2.72089596227527
"HEMC","f15","junior",1,0,0,0,0,2.07947735533942
"HEMC","f16","junior",1,1,1,1,1,1.96728558797524
"HEMC","f17","junior",1,0,0,0,0,2.60614991649474
"HEMC","f18","junior",1,1,0,0,1,2.32085666568425
"HEMC","f19","junior",1,0,1,1,1,2.46281560074664
"HEMC","f20","junior",1,0,0,0,1,2.46969250417526
"HEMC","f21","junior",1,1,0,0,0,2.48069554966107
"HEMC","f22","junior",1,1,1,1,0,1.96728558797524
"HEMC","f23","junior",1,1,0,0,1,2.39345711759505
"WuShan","F14","sophomore",1,1,1,1,1,2.60389036251105
"HEMC","f24","junior",1,0,0,0,1,2.46222615188132
"HEMC","f25","junior",1,1,1,1,0,1.96728558797524
"WuShan","F15","junior",1,0,1,1,1,1.95893506238334
"WuShan","F16","senior",1,1,1,1,1,1.95893506238334
"WuShan","F17","senior",1,1,0,1,0,2.6847430985362
"WuShan","F18","senior",0,1,0,1,1,1.95893506238334
"WuShan","F19","senior",1,1,0,1,1,2.00658217899597
"WuShan","F20","senior",1,1,0,0,0,2.70792808723843
"WuShan","F21","senior",1,1,1,1,0,1.95893506238334
"WuShan","F22","senior",1,0,0,1,1,2.53993516062482
"WuShan","F23","senior",1,1,1,1,0,2.45977011494253
"WuShan","F24","senior",1,0,0,1,1,2.57225660673937
"WuShan","F25","senior",1,1,1,0,0,2.44169368307299
"WuShan","F26","senior",1,1,0,0,1,2.39650260339915
"WuShan","F27","senior",1,1,0,0,0,2.48580410649376
"WuShan","F28","senior",1,0,1,1,1,2.42518911484429
"WuShan","F29","senior",1,1,0,0,1,2.74565281461833
"WuShan","F30","senior",1,1,0,0,0,1.95893506238334
"WuShan","F31","senior",1,1,0,1,0,2.43177129384026
"WuShan","F32","senior",1,1,1,1,1,2.13321544356027
"WuShan","G1","senior",1,1,0,0,1,2.77689360447981
"WuShan","G2","graduate",1,0,0,0,1,1.96384713626093
"WuShan","G3","graduate",1,0,1,1,0,1.96384713626093
"HEMC","g1","graduate",1,1,1,1,0,2.10138520483348
"WuShan","G4","senior",1,1,0,0,1,2.70694567246291
"HEMC","g2","graduate",0,1,1,1,0,2.67305236270754
"HEMC","g3","graduate",1,0,0,0,0,2.51429413498379
"HEMC","g4","sophomore",0,0,0,1,1,2.80764318695353
"HEMC","g5","sophomore",0,0,0,0,0,1.97052755673445
"WuShan","G5","junior",1,1,0,0,1,2.49729835936733
"HEMC","g6","senior",1,0,0,0,0,1.97052755673445
"HEMC","g7","sophomore",1,0,0,1,1,2.65409175754003
"WuShan","H1","graduate",0,1,0,0,0,2.83210531486394
"WuShan","H2","senior",0,0,0,1,0,2.20581589547107
"WuShan","H3","junior",1,1,0,1,0,1.96080165045682
"WuShan","H4","senior",1,1,0,0,1,1.96080165045682
"WuShan","H5","junior",0,0,0,1,0,2.86226544847234
"WuShan","H6","junior",1,1,1,1,0,1.96080165045682
"WuShan","H7","junior",1,1,1,1,1,2.44218489046075
"WuShan","H8","sophomore",1,1,0,0,0,1.96080165045682
"WuShan","H9","senior",0,0,0,0,0,2.83092641713331
"WuShan","H10","graduate",0,1,0,0,1,2.77188328912467
"WuShan","H11","junior",1,1,1,1,0,1.96080165045682
"WuShan","H12","junior",1,1,1,1,1,2.16838589252382
"WuShan","H13","senior",1,1,0,1,1,1.96080165045682
"WuShan","H14","junior",1,1,0,1,1,2.70989291678947
"WuShan","H15","junior",1,1,0,0,1,1.96080165045682
"WuShan","H16","senior",1,1,0,0,1,2.21799783868749
"WuShan","H17","junior",0,0,0,0,0,2.76903428627567
"WuShan","I1","senior",0,0,0,0,1,1.96335592887317
"WuShan","I2","senior",1,1,1,1,1,1.96335592887317
"WuShan","I3","senior",0,0,0,1,1,2.72629924354062
"WuShan","I4","graduate",1,0,1,1,1,2.20100206307103
"WuShan","I5","sophomore",0,0,0,1,1,2.80803615286374
"WuShan","I6","senior",1,1,0,0,0,2.74634050496119
"WuShan","I7","junior",1,1,1,0,0,2.41939286766873
"WuShan","I8","junior",0,1,0,0,0,2.74231260438157
"WuShan","I9","sophomore",0,0,0,0,0,2.51065920031437
